Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Tennis,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
33.0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1.0,28.0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0
127.0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,39.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1
127.0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,42.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1
127.0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,44.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,1
127.0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,49.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,1
127.0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,51.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,1
127.0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0.67,53.2,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,1,1
150.0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0.54,36.2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1
70.0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.54,30.5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1
127.0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.33,32.0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,8,1,1
127.0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.33,33.0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8,1,1
130.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.53,32.55,1,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,7,1,1
130.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0.53,38.55,1,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,7,1,1
250.0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0.49,32.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,8,1,1
250.0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0.49,40.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8,1,1
70.0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1.0,19.0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,11,0,0
127.0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,28.85,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,11,1,1
127.0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,34.65,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,11,1,1
