URL;Preisseite;Latitude;Longitude;Stellplatz am Wasser;weiter Unterküfte;kleiner Platz (<80 m2);mittlerer Platz  (~100 m2);grosser Platz (>110 m2);Hauptsaison;Nebensaison;Preis
https://camping.ch/de/campingplatz/berner-oberland/frutigen/camping-grassi?l=true;https://www.camping-grassi.ch/de/preise.html;46.58132306;7.641016944;0;0;0;0;1;0;1;28.8
https://camping.ch/de/campingplatz/berner-oberland/frutigen/camping-grassi?l=true;https://www.camping-grassi.ch/de/preise.html;46.58132306;7.641016944;0;0;0;1;0;1;0;30.2
https://camping.ch/de/campingplatz/berner-oberland/frutigen/camping-grassi?l=true;https://www.camping-grassi.ch/de/preise.html;46.58132306;7.641016944;0;0;0;0;1;1;0;32.2
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;1;0;0;0;1;37.7
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;0;1;0;0;1;40.7
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;0;0;1;0;1;45.7
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;1;0;0;1;0;49.7
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;0;1;0;1;0;52.7
https://camping.ch/de/campingplatz/berner-oberland/frutigen/frutigresort?l=true;https://static1.squarespace.com/static/5ae2265075f9ee72412e87ad/t/659d5d568535a63892f7f19e/1704811863183/Camping_Preisliste+2024.pdf;46.59351611;7.654676944;0;1;0;0;1;1;0;57.7
https://camping.ch/de/campingplatz/berner-oberland/zweisimmen/camping-fankhauser?l=true;https://camping-fankhauser.ch/builder/data/documents/Preisliste-2023.pdf;46.56316111;7.376921944;0;1;1;0;0;0;1;27.2
https://camping.ch/de/campingplatz/berner-oberland/zweisimmen/camping-fankhauser?l=true;https://camping-fankhauser.ch/builder/data/documents/Preisliste-2023.pdf;46.56316111;7.376921944;0;1;1;0;0;1;0;27.7
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/duedingen/schiffenensee?l=true;https://camping-schiffenen.ch/unterkuenfte/;46.87827194;7.19114;0;1;1;0;0;0;1;27
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/duedingen/schiffenensee?l=true;https://camping-schiffenen.ch/unterkuenfte/;46.87827194;7.19114;0;1;0;1;0;0;1;35
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/duedingen/schiffenensee?l=true;https://camping-schiffenen.ch/unterkuenfte/;46.87827194;7.19114;0;1;1;0;0;1;0;30.5
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/duedingen/schiffenensee?l=true;https://camping-schiffenen.ch/unterkuenfte/;46.87827194;7.19114;0;1;0;1;0;1;0;40
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/sugiez/les-trois-lacs?l=true;https://www.camping-les3lacs.ch/de/unsere-angebote/durchgangscamping/stellplaetze;46.97446944;7.095601667;0;1;1;0;0;1;1;31.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/les-brenets/camping-lac-des-brenets?l=true;https://www.camping-brenets.ch/campingplatz/passantenplaetze-2;47.06556194;6.698053889;0;1;1;0;0;0;1;25
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/les-brenets/camping-lac-des-brenets?l=true;https://www.camping-brenets.ch/campingplatz/passantenplaetze-2;47.06556194;6.698053889;0;1;1;0;0;1;0;28
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;1;0;0;0;1;39.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;0;1;0;0;1;42.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;0;0;1;0;1;44.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;1;0;0;1;0;49.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;0;1;0;1;0;51.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/colombier/paradis-plage?l=true;https://www.paradisplage.ch/de/unterkuenfte/standplaetze;46.96574306;6.871956944;0;1;0;0;1;1;0;53.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/le-landeron/camp-des-peches?l=true;https://www.camping-lelanderon.ch/de/reservieren/preise;47.05258111;7.072291944;0;1;1;0;0;1;1;36.2
https://camping.ch/de/campingplatz/freiburg-neuenburg-jura/pr-les/camping-de-pr-les?l=true;https://campingpreles.ch/tarifs-passage/;47.085465;7.118153056;0;0;1;0;0;1;1;30.5
https://camping.ch/de/campingplatz/waadt-genfersee/lausanne/camping-de-vidy?l=true;https://www.campinglausannevidy.ch/fr/prix-et-tarifs;46.51730306;6.597966111;0;1;1;0;0;0;1;32
https://camping.ch/de/campingplatz/waadt-genfersee/lausanne/camping-de-vidy?l=true;https://www.campinglausannevidy.ch/fr/prix-et-tarifs;46.51730306;6.597966111;0;1;1;0;0;1;0;33
https://camping.ch/de/campingplatz/waadt-genfersee/yverdon-les-bains/camping-yverdon-plage?l=true;https://thelisresa.webcamp.fr/list.php?camping=yverdonch&lang=de&type=1&PHPSESSID=cej19pi40df32ct2c8fgv1qvd8&begin=2024-06-14&end=2024-06-21&nb_pers=2&duration=7;46.78475889;6.648703056;0;1;0;1;0;0;1;32.55
https://camping.ch/de/campingplatz/waadt-genfersee/yverdon-les-bains/camping-yverdon-plage?l=true;https://thelisresa.webcamp.fr/list.php?camping=yverdonch&lang=de&type=1&PHPSESSID=cej19pi40df32ct2c8fgv1qvd8&begin=2024-06-14&end=2024-06-21&nb_pers=2&duration=7;46.78475889;6.648703056;0;1;0;1;0;1;0;38.55
https://camping.ch/de/campingplatz/waadt-genfersee/avenches/camping-port-plage?l=true;https://static.mycity.travel/manage/uploads/6/22/43508/7/liste-de-prix-camping.pdf;46.90366694;7.049083056;0;0;1;0;0;0;1;32.3
https://camping.ch/de/campingplatz/waadt-genfersee/avenches/camping-port-plage?l=true;https://static.mycity.travel/manage/uploads/6/22/43508/7/liste-de-prix-camping.pdf;46.90366694;7.049083056;0;0;1;0;0;1;0;40.3
https://camping.ch/de/campingplatz/waadt-genfersee/noville/les-grangettes?l=true;https://www.pincamp.ch/de/campingplaetze/camping-les-grangettes;46.39439;6.896306944;0;0;0;1;0;1;1;19
https://camping.ch/de/campingplatz/wallis/le-bouveret/rive-bleue?l=true;https://www.camping-rive-bleue.ch/de/campingplatz/;46.38615111;6.859556111;0;1;1;0;0;0;1;28.85
https://camping.ch/de/campingplatz/wallis/le-bouveret/rive-bleue?l=true;https://www.camping-rive-bleue.ch/de/campingplatz/;46.38615111;6.859556111;0;1;1;0;0;1;0;34.65
https://camping.ch/de/campingplatz/wallis/champery/camping-du-grand-paradis?l=true;https://www.regiondentsdumidi.ch/de/396410-grand-paradis-campingplatz-4152/#apidae_price;46.16356361;6.859672778;0;1;1;0;0;0;1;27.5
https://camping.ch/de/campingplatz/wallis/champery/camping-du-grand-paradis?l=true;https://www.regiondentsdumidi.ch/de/396410-grand-paradis-campingplatz-4152/#apidae_price;46.16356361;6.859672778;0;1;1;0;0;1;0;31
https://camping.ch/de/campingplatz/wallis/morgins/la-mare-au-diable?l=true;https://www.regiondentsdumidi.ch/de/841054-camping-la-mare-au-diable-9934/;46.24065611;6.850586111;0;0;1;0;0;1;1;23.6
https://camping.ch/de/campingplatz/wallis/la-fouly-val-ferret/des-glaciers?l=true;https://www.camping-glaciers.ch/de/tarife;45.93348694;7.093635;0;1;0;1;0;1;0;30.6
https://camping.ch/de/campingplatz/wallis/la-fouly-val-ferret/des-glaciers?l=true;https://www.camping-glaciers.ch/de/tarife;45.93348694;7.093635;0;1;0;1;0;0;1;25.6
https://camping.ch/de/campingplatz/wallis/saillon/camping-de-la-sarvaz?l=true;https://www.sarvaz.ch/fr/camping/prix;46.15971389;7.167161944;0;1;1;0;0;1;1;37
https://camping.ch/de/campingplatz/wallis/saillon/camping-de-la-sarvaz?l=true;https://www.sarvaz.ch/fr/camping/prix;46.15971389;7.167161944;0;1;0;1;0;1;1;47
https://camping.ch/de/campingplatz/wallis/saillon/camping-de-la-sarvaz?l=true;https://www.sarvaz.ch/fr/camping/prix;46.15971389;7.167161944;0;1;0;0;1;1;1;72
https://camping.ch/de/campingplatz/wallis/les-haud-res/molignon?l=true;https://www.camping-molignon.ch/de/preise/;46.090425;7.507336111;0;1;1;0;0;1;0;32.2
https://camping.ch/de/campingplatz/wallis/les-haud-res/molignon?l=true;https://www.camping-molignon.ch/de/preise/;46.090425;7.507336111;0;1;1;0;0;0;1;26.9
https://camping.ch/de/campingplatz/wallis/arolla/arolla?l=true;https://de.camping-arolla.ch/camping;46.02688778;7.486069167;0;1;1;0;0;0;1;27.2
https://camping.ch/de/campingplatz/wallis/arolla/arolla?l=true;https://de.camping-arolla.ch/camping;46.02688778;7.486069167;0;1;1;0;0;1;0;28.6
https://camping.ch/de/campingplatz/wallis/salgesch/swiss-plage?l=true;https://www.swissplage.ch/de/unterkunft-und-preise-89;46.30142194;7.564795;0;1;1;0;0;1;0;35
https://camping.ch/de/campingplatz/wallis/salgesch/swiss-plage?l=true;https://www.swissplage.ch/de/unterkunft-und-preise-89;46.30142194;7.564795;0;1;1;0;0;0;1;32.08
https://camping.ch/de/campingplatz/wallis/leuk-susten/gemmi-agarn?l=true;https://campgemmi.ch/?page_id=103;46.29778111;7.659315;0;0;1;0;0;0;1;30.3
https://camping.ch/de/campingplatz/wallis/leuk-susten/gemmi-agarn?l=true;https://campgemmi.ch/?page_id=103;46.29778111;7.659315;0;0;0;1;0;0;1;32.3
