Name,Ortschaft,Latitude,Longitude,Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Golf,Tennis,Disco,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,32.8,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,47.2,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,56.8,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
Camping Lazy Rancho 4,3800 Interlaken-Unterseen (BE),46.68626111,7.830466111,90.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0.47,46.8,1,4,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
Camping Lazy Rancho 4,3800 Interlaken-Unterseen (BE),46.68626111,7.830466111,90.0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0.47,54.8,1,4,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
Breithorn,3824 Stechelberg (BE),46.56842194,7.908385,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,30.0,1,3,2,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
Breithorn,3824 Stechelberg (BE),46.56842194,7.908385,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,30.0,1,3,2,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,40.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,50.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,55.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,60.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,47.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,62.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,64.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
Aaregg,3855 Brienz (BE),46.74816889,8.049566944,127.0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.58,69.0,1,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
Camping Balmweid,ch-3860 Meiringen (BE),46.72549194,8.171863056,100.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.58,33.5,0,3,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,11,1,1
Camping Balmweid,ch-3860 Meiringen (BE),46.72549194,8.171863056,100.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0.58,43.5,0,3,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,11,1,1
